schl_nr,stadium,gueltig_ab,datum_praezision,name,ist_urspruenglich
02062,3,1937-11-20,tag,Mählerweg,falsch
02061,1,,unbekannt,Märkische Straße,wahr
02061,2,1904-11-18,tag,Ziegelstraße,falsch
02061,3,1927-05-19,tag,Märkische Straße (Verl.),falsch
02063,1,1909-06-04,tag,Magdalenenstraße,falsch
02064,1,1938-10-21,tag,Magdeburger Knie,falsch
02065,1,1896-10-08,tag,Mahlstraße,falsch
03717,1,1970-10-06,tag,Mainstraße,falsch
02067,1,1902-05-16,tag,Mainzer Straße,falsch
02068,1,1931-02-10,tag,Mallinckrodtplatz,falsch
02069,1,1931-02-10,tag,Mallinckrodtstraße,falsch
02071,1,1936-08-05,tag,Malvenhang,falsch
